"","Day","modColor","ontology","term","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"41","Day1","greenyellow","MF","rRNA binding","GO:0019843",0.0142858653762138,0.998660060353884,3,9
"42","Day1","greenyellow","MF","isomerase activity","GO:0016853",0.0180240051118648,0.99323566030661,10,85
"43","Day1","greenyellow","MF","methyltransferase activity","GO:0008168",0.0233216635609565,0.989154291045241,14,145
"44","Day1","greenyellow","MF","translation factor activity, RNA binding","GO:0008135",0.025463115714918,0.991941906772565,7,53
"45","Day1","greenyellow","MF","DNA-binding transcription factor activity","GO:0003700",0.0331668974880116,0.980201109953369,25,324
"46","Day1","greenyellow","MF","GTPase activity","GO:0003924",0.039610779270636,0.977176381270821,21,242
"47","Day1","green","BP","protein folding","GO:0006457",1.42229214712775e-14,1,21,68
"48","Day1","green","BP","cellular nitrogen compound metabolic process","GO:0034641",4.7740146240944e-08,1,96,1387
"49","Day1","green","BP","biosynthetic process","GO:0009058",7.48683561875068e-08,1,111,1673
"50","Day1","green","BP","cytoskeleton organization","GO:0007010",2.55783768279612e-07,0.999999931631182,26,172
"51","Day1","green","BP","protein targeting","GO:0006605",4.11049540786702e-06,0.999999586546466,9,38
"52","Day1","green","BP","cellular component assembly","GO:0022607",1.31956268050163e-05,0.999996739303769,17,123
"53","Day1","green","BP","vesicle-mediated transport","GO:0016192",1.97640841240601e-05,0.9999927745725,28,275
"54","Day1","green","BP","membrane organization","GO:0061024",8.92107405391162e-05,0.999992663324609,6,22
"55","Day1","green","BP","cell cycle","GO:0007049",0.000493740592016897,0.999853947804241,14,111
"56","Day1","green","BP","protein-containing complex assembly","GO:0065003",0.000499143865769014,0.99982923318299,17,179
"57","Day1","green","BP","tRNA metabolic process","GO:0006399",0.00115640297925413,0.999641555353487,13,121
"58","Day1","green","BP","small molecule metabolic process","GO:0044281",0.00168804639179817,0.999095223828939,36,536
"59","Day1","green","BP","ribonucleoprotein complex assembly","GO:0022618",0.00333279345268526,0.999398803967159,6,40
"60","Day1","green","BP","sulfur compound metabolic process","GO:0006790",0.0053471967328249,0.998199294223521,11,122
"61","Day1","green","BP","mitochondrion organization","GO:0007005",0.0058131726367743,0.998284906621025,9,88
"62","Day1","green","BP","ribosome biogenesis","GO:0042254",0.00995775570838272,0.995796522293049,14,212
"63","Day1","green","BP","homeostatic process","GO:0042592",0.0116039687644441,0.995233277002047,13,144
"64","Day1","green","BP","mRNA processing","GO:0006397",0.0190236290909992,0.992714607526692,10,115
"65","Day1","green","BP","transport","GO:0006810",0.0216434552152196,0.989135919440416,17,223
"66","Day1","green","BP","nucleobase-containing compound catabolic process","GO:0034655",0.0220989263367731,0.991849088538883,9,100
"67","Day1","green","MF","unfolded protein binding","GO:0051082",1.44621593147724e-11,1,15,41
"68","Day1","green","MF","translation factor activity, RNA binding","GO:0008135",6.26734993447545e-09,0.999999999380907,14,53
"69","Day1","green","MF","RNA binding","GO:0003723",4.6195921191202e-06,0.999998380393717,30,281
"70","Day1","green","MF","ATP hydrolysis activity","GO:0016887",9.59046599200791e-05,0.999964063948502,25,203
"71","Day1","green","MF","isomerase activity","GO:0016853",0.00117637779389133,0.999702651543465,10,85
"72","Day1","green","MF","oxidoreductase activity","GO:0016491",0.00118298991477702,0.999302116374675,52,869
"73","Day1","green","MF","ligase activity","GO:0016874",0.00120268364836603,0.999606773267929,14,127
"74","Day1","green","MF","cytoskeletal protein binding","GO:0008092",0.00168664556985101,0.999281234018873,21,207
"75","Day1","green","MF","DNA-binding transcription factor activity","GO:0003700",0.00325163298500924,0.998434816419312,24,324
"76","Day1","green","MF","transferase activity, transferring alkyl or aryl (other than methyl) groups","GO:0016765",0.00634919862227321,0.998916493825044,5,36
"77","Day1","green","MF","ion binding","GO:0043167",0.00901525881286996,0.992605315690164,258,5162
"78","Day1","green","MF","lipid binding","GO:0008289",0.0273500225117916,0.987799559412568,12,157
"79","Day1","green","MF","acyltransferase activity","GO:0016746",0.0316272504619835,0.986807608080474,10,128
"80","Day1","brown","BP","cellular nitrogen compound metabolic process","GO:0034641",3.15071635775219e-09,1,227,1387
"81","Day1","brown","BP","cytoskeleton organization","GO:0007010",2.57543941002229e-07,0.999999899997987,52,172
"82","Day1","brown","BP","vesicle-mediated transport","GO:0016192",3.51003494074633e-07,1,64,275
"83","Day1","brown","BP","cellular component assembly","GO:0022607",1.24137776845204e-05,0.999995454504739,33,123
"84","Day1","brown","BP","ribonucleoprotein complex assembly","GO:0022618",0.000148351501854833,0.999967321023282,13,40
"85","Day1","brown","BP","sulfur compound metabolic process","GO:0006790",0.000180521598768618,0.99993024498065,26,122
"86","Day1","brown","BP","mitochondrion organization","GO:0007005",0.000212888468491587,0.999927200379605,21,88
"87","Day1","brown","BP","catabolic process","GO:0009056",0.000281297576204257,0.999830638472997,76,419
"88","Day1","brown","BP","protein maturation","GO:0051604",0.00122276607307568,0.999692387683264,11,39
"89","Day1","brown","BP","mRNA processing","GO:0006397",0.00202280298193535,0.999088552967791,25,115
"90","Day1","brown","BP","lipid metabolic process","GO:0006629",0.00461049862843407,0.99706383404316,58,357
"91","Day1","brown","BP","small molecule metabolic process","GO:0044281",0.00479785608570728,0.996702059108777,81,536
"92","Day1","brown","BP","generation of precursor metabolites and energy","GO:0006091",0.00484249921117905,0.997668613013128,24,131
"93","Day1","brown","BP","biosynthetic process","GO:0009058",0.00526888923368283,0.99576659339221,227,1673
"94","Day1","brown","BP","biological_process","GO:0008150",0.00708289262662826,0.995135133787314,76,426
"95","Day1","brown","BP","vacuolar transport","GO:0007034",0.0107378683290529,0.997748576100652,6,20
"96","Day1","brown","BP","cytoskeleton-dependent intracellular transport","GO:0030705",0.0267196471565854,0.994659192433729,5,12
"97","Day1","brown","MF","cytoskeletal protein binding","GO:0008092",4.17142088060654e-12,1,72,207
"98","Day1","brown","MF","kinase activity","GO:0016301",1.34570129569082e-08,1,132,580
"99","Day1","brown","MF","lipid binding","GO:0008289",1.87594011546142e-05,0.999992352310912,38,157
"100","Day1","brown","MF","oxidoreductase activity","GO:0016491",0.000123365425464151,0.999917605327227,128,869
"101","Day1","brown","MF","enzyme binding","GO:0019899",0.000163013009412826,0.999920346718341,47,166
"102","Day1","brown","MF","DNA-binding transcription factor activity","GO:0003700",0.000365905213949893,0.999793700297876,58,324
"103","Day1","brown","MF","GTPase activity","GO:0003924",0.00071377186051516,0.99963384093253,39,242
"104","Day1","brown","MF","enzyme regulator activity","GO:0030234",0.00213883101716091,0.998713283249327,54,329
"105","Day1","brown","MF","isomerase activity","GO:0016853",0.0122775392629993,0.994574209544886,16,85
"106","Day1","brown","MF","ion binding","GO:0043167",0.0198151073697225,0.982254308166692,712,5162
"107","Day1","brown","MF","ATP hydrolysis activity","GO:0016887",0.0343195423044322,0.977027874765677,45,203
"108","Day1","blue","BP","cellular nitrogen compound metabolic process","GO:0034641",2.52208566196378e-16,1,169,1387
"109","Day1","blue","BP","biosynthetic process","GO:0009058",3.07377217222646e-13,1,184,1673
"110","Day1","blue","BP","catabolic process","GO:0009056",2.40931245666607e-11,1,66,419
"111","Day1","blue","BP","chromosome organization","GO:0051276",1.77436744309759e-10,1,45,225
"112","Day1","blue","BP","small molecule metabolic process","GO:0044281",1.33442737810114e-09,1,72,536
"113","Day1","blue","BP","ribosome biogenesis","GO:0042254",2.96393847000292e-09,1,37,212
"114","Day1","blue","BP","generation of precursor metabolites and energy","GO:0006091",8.05125684811294e-09,0.999999998153011,28,131
"115","Day1","blue","BP","mRNA processing","GO:0006397",2.15483366695234e-08,0.999999995133633,26,115
"116","Day1","blue","BP","protein folding","GO:0006457",2.77225683453872e-06,0.99999945660115,16,68
"117","Day1","blue","BP","nucleobase-containing compound catabolic process","GO:0034655",2.43710810047461e-05,0.999993256705852,19,100
"118","Day1","blue","BP","cellular amino acid metabolic process","GO:0006520",5.25208670398958e-05,0.999969851914063,76,700
"119","Day1","blue","BP","translation","GO:0006412",5.32825894119867e-05,0.999979166613703,29,215
"120","Day1","blue","BP","cellular protein modification process","GO:0006464",6.71870444878473e-05,0.999954834119689,140,1476
"121","Day1","blue","BP","carbohydrate metabolic process","GO:0005975",6.75004891421181e-05,0.999968102349216,42,346
"122","Day1","blue","BP","chromosome segregation","GO:0007059",0.000237674538633866,0.999945396501641,12,53
"123","Day1","blue","BP","mitotic nuclear division","GO:0140014",0.000446477809942783,0.999928736645251,8,28
"124","Day1","blue","BP","vacuolar transport","GO:0007034",0.0010148567742903,0.99986997501207,6,20
"125","Day1","blue","BP","cell division","GO:0051301",0.00313919975664359,0.999385458274043,7,27
"126","Day1","blue","BP","cellular component assembly","GO:0022607",0.00335634370325795,0.998645996906498,17,123
"127","Day1","blue","BP","membrane organization","GO:0061024",0.00934644059689427,0.998344225064118,5,22
"128","Day1","blue","BP","protein-containing complex assembly","GO:0065003",0.00945674229342407,0.995403879451306,20,179
"129","Day1","blue","BP","mitotic cell cycle","GO:0000278",0.0151981009726508,0.996337821532275,6,29
"130","Day1","blue","BP","tRNA metabolic process","GO:0006399",0.0226633324666924,0.989565092911233,14,121
"131","Day1","blue","BP","lipid metabolic process","GO:0006629",0.0240762639167145,0.984988125304654,33,357
"132","Day1","blue","BP","cell morphogenesis","GO:0000902",0.0293461447793486,0.994414790092432,4,17
"133","Day1","blue","BP","mitochondrion organization","GO:0007005",0.0456547856691479,0.979984882541536,10,88
"134","Day1","blue","MF","RNA binding","GO:0003723",8.28703446885258e-07,0.999999689191714,42,281
"135","Day1","blue","MF","kinase activity","GO:0016301",6.14115221568065e-06,0.999996995022118,70,580
"136","Day1","blue","MF","structural constituent of ribosome","GO:0003735",6.914351130147e-06,0.999997892199689,24,150
"137","Day1","blue","MF","isomerase activity","GO:0016853",1.57360576998492e-05,0.999996170649896,17,85
"138","Day1","blue","MF","DNA binding","GO:0003677",2.87125710723818e-05,0.999982798270367,95,955
"139","Day1","blue","MF","oxidoreductase activity","GO:0016491",3.14552999538601e-05,0.99998163014886,85,869
"140","Day1","blue","MF","methyltransferase activity","GO:0008168",4.66209702354908e-05,0.99998434866954,23,145
"141","Day1","blue","MF","acyltransferase activity","GO:0016746",0.000478892231830212,0.999828752179967,19,128
"142","Day1","blue","MF","peptidase activity","GO:0008233",0.00244399980632159,0.998446953284425,62,641
"143","Day1","blue","MF","GTPase activity","GO:0003924",0.00337759856717151,0.998330043162909,26,242
"144","Day1","blue","MF","unfolded protein binding","GO:0051082",0.00365599642261366,0.999131949538666,8,41
"145","Day1","blue","MF","transferase activity, transferring alkyl or aryl (other than methyl) groups","GO:0016765",0.00442209033691474,0.999038605562187,7,36
"146","Day1","blue","MF","ATP hydrolysis activity","GO:0016887",0.0062349418615216,0.996785521718992,26,203
"147","Day1","blue","MF","enzyme binding","GO:0019899",0.00778330410964246,0.996167226586468,22,166
"148","Day1","blue","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810",0.0167759939484909,0.993451141137182,11,87
"149","Day1","blue","MF","DNA-binding transcription factor activity","GO:0003700",0.0174521300041845,0.989574418938287,31,324
"150","Day1","blue","MF","mRNA binding","GO:0003729",0.0300932780886248,0.994172805841357,4,18
"151","Day1","blue","MF","nuclease activity","GO:0004518",0.0398227668105893,0.978674976379442,17,160
"152","Day1","blue","MF","histone binding","GO:0042393",0.0405613033885483,0.997516311594484,2,4
"153","Day1","cyan","BP","lipid metabolic process","GO:0006629",0.00349004812297403,0.999025704804406,9,357
"154","Day1","cyan","BP","sulfur compound metabolic process","GO:0006790",0.0137028684671697,0.997662494859457,4,122
"155","Day1","cyan","BP","immune system process","GO:0002376",0.0293411331566742,0.993692823384731,4,148
"156","Day1","cyan","BP","cytoskeleton organization","GO:0007010",0.0349320476478489,0.990365687224759,5,172
"157","Day1","cyan","MF","molecular_function","GO:0003674",0.00195606019958151,0.998766743972473,74,6199
"158","Day1","cyan","MF","cytoskeletal protein binding","GO:0008092",0.00762662642253003,0.998024162788977,7,207
"159","Day1","cyan","MF","GTPase activity","GO:0003924",0.025065902751844,0.993633850085069,5,242
"160","Day1","magenta","BP","biosynthetic process","GO:0009058",2.39087915180786e-09,1,111,1673
"161","Day1","magenta","BP","small molecule metabolic process","GO:0044281",2.99992408716459e-09,1,50,536
"162","Day1","magenta","BP","cellular nitrogen compound metabolic process","GO:0034641",4.9426791156179e-08,1,92,1387
"163","Day1","magenta","BP","translation","GO:0006412",3.29698750106193e-07,0.999999912163293,25,215
"164","Day1","magenta","BP","generation of precursor metabolites and energy","GO:0006091",3.87941129132675e-07,0.99999991860239,19,131
"165","Day1","magenta","BP","nucleocytoplasmic transport","GO:0006913",9.33868507816604e-07,0.999999910464664,10,36
"166","Day1","magenta","BP","catabolic process","GO:0009056",2.40674361459066e-06,0.999999075827729,37,419
"167","Day1","magenta","BP","ribosome biogenesis","GO:0042254",8.56279391133941e-06,0.999997455961715,22,212
"168","Day1","magenta","BP","protein-containing complex assembly","GO:0065003",1.18449093945693e-05,0.999996656195553,20,179
"169","Day1","magenta","BP","transmembrane transport","GO:0055085",0.000452106416089483,0.999821121469006,22,268
"170","Day1","magenta","BP","mRNA processing","GO:0006397",0.00145691771468077,0.999561242289966,12,115
"171","Day1","magenta","BP","chromosome organization","GO:0051276",0.00161786944549145,0.999342704545213,19,225
"172","Day1","magenta","BP","tRNA metabolic process","GO:0006399",0.00211302044472308,0.999333041929173,12,121
"173","Day1","magenta","BP","protein targeting","GO:0006605",0.00225358293071911,0.999626270103863,6,38
"174","Day1","magenta","BP","lipid metabolic process","GO:0006629",0.00239654380012636,0.998853370404689,25,357
"175","Day1","magenta","BP","vesicle-mediated transport","GO:0016192",0.00242370160037857,0.998926278023105,21,275
"176","Day1","magenta","BP","protein maturation","GO:0051604",0.00281508109387485,0.999510512216064,6,39
"177","Day1","magenta","BP","nucleobase-containing compound catabolic process","GO:0034655",0.00480100188669962,0.998513275657126,10,100
"178","Day1","magenta","BP","mitotic cell cycle","GO:0000278",0.00537531158615691,0.99913720106037,5,29
"179","Day1","magenta","BP","locomotion","GO:0040011",0.0200310925177055,0.998957109291745,2,6
"180","Day1","magenta","BP","transport","GO:0006810",0.0283503178286814,0.985969077917262,15,223
"181","Day1","magenta","BP","vacuolar transport","GO:0007034",0.0336624734133159,0.994880974633229,3,20
"182","Day1","magenta","BP","protein folding","GO:0006457",0.0376400845100167,0.988110163572972,6,68
"183","Day1","magenta","BP","membrane organization","GO:0061024",0.0446531408545622,0.992338737780211,3,22
"184","Day1","magenta","MF","RNA binding","GO:0003723",1.31050399157644e-05,0.999995412529254,27,281
"185","Day1","magenta","MF","structural constituent of ribosome","GO:0003735",2.32351986027208e-05,0.999993922092884,17,150
"186","Day1","magenta","MF","ligase activity","GO:0016874",3.24101477689313e-05,0.99999175409268,16,127
"187","Day1","magenta","MF","isomerase activity","GO:0016853",6.44823276666855e-05,0.999986561729417,12,85
"188","Day1","magenta","MF","methyltransferase activity","GO:0008168",0.000106020473035641,0.999969891185563,16,145
"189","Day1","magenta","MF","enzyme binding","GO:0019899",0.000196556453656779,0.999936006530858,18,166
"190","Day1","magenta","MF","translation factor activity, RNA binding","GO:0008135",0.000680599117993066,0.999873640089955,8,53
"191","Day1","magenta","MF","ATP hydrolysis activity","GO:0016887",0.000790848917205787,0.999699064894565,19,203
"192","Day1","magenta","MF","oxidoreductase activity","GO:0016491",0.00262102970230922,0.998417166288682,49,869
"193","Day1","magenta","MF","DNA binding","GO:0003677",0.013804371108151,0.990818878639151,50,955
"194","Day1","magenta","MF","lyase activity","GO:0016829",0.0158006273256101,0.99320848074977,13,173
"195","Day1","magenta","MF","nuclease activity","GO:0004518",0.0204849717421157,0.991228688525782,12,160
"196","Day1","magenta","MF","transmembrane transporter activity","GO:0022857",0.0367336710499754,0.974037918705703,50,1009
"197","Day1","magenta","MF","peptidase activity","GO:0008233",0.0416447869363188,0.972507467868431,34,641
